Brasil, Grandes Regiões e Unidades da Federação: Projeções da população com data de referência no dia 1º de cada mês: 2010/2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
agosto, 2013;200.176.690;16.991.048;55.210.447;84.329.264;28.623.890;15.022.041;1.659.647;806.125;3.758.600;489.367;8.061.742;746.947;1.468.620;6.838.484;3.220.691;8.796.870;3.335.425;3.894.882;9.194.268;3.247.868;2.175.227;14.506.731;20.383.985;3.741.293;16.630.812;43.573.174;10.919.656;6.629.221;11.075.013;2.592.538;3.232.331;6.429.073;2.768.099
setembro, 2013;200.320.126;17.011.337;55.237.151;84.388.112;28.643.236;15.040.290;1.661.316;807.217;3.764.159;490.529;8.069.639;748.368;1.470.109;6.841.846;3.221.434;8.801.600;3.337.952;3.896.475;9.199.501;3.249.210;2.177.016;14.512.117;20.395.466;3.745.251;16.639.889;43.607.505;10.926.990;6.636.795;11.079.451;2.595.205;3.235.850;6.437.638;2.771.597
outubro, 2013;200.463.532;17.031.631;55.263.857;84.446.927;28.662.582;15.058.535;1.662.986;808.308;3.769.715;491.707;8.077.530;749.789;1.471.597;6.845.209;3.222.177;8.806.333;3.340.478;3.898.073;9.204.733;3.250.550;2.178.804;14.517.500;20.406.941;3.749.209;16.648.968;43.641.809;10.934.324;6.644.371;11.083.887;2.597.871;3.239.371;6.446.198;2.775.095
novembro, 2013;200.606.907;17.051.931;55.290.564;84.505.708;28.681.927;15.076.777;1.664.656;809.398;3.775.268;492.901;8.085.414;751.208;1.473.086;6.848.573;3.222.921;8.811.069;3.343.001;3.899.676;9.209.964;3.251.888;2.180.592;14.522.880;20.418.409;3.753.166;16.658.047;43.676.086;10.941.659;6.651.948;11.088.320;2.600.537;3.242.894;6.454.754;2.778.593
dezembro, 2013;200.750.247;17.072.236;55.317.272;84.564.454;28.701.270;15.095.014;1.666.326;810.489;3.780.818;494.110;8.093.292;752.627;1.474.575;6.851.938;3.223.665;8.815.808;3.345.521;3.901.286;9.215.194;3.253.224;2.182.378;14.528.258;20.429.871;3.757.123;16.667.126;43.710.333;10.948.994;6.659.527;11.092.749;2.603.202;3.246.419;6.463.304;2.782.090
janeiro, 2014;200.893.550;17.092.546;55.343.979;84.623.165;28.720.612;15.113.247;1.667.996;811.578;3.786.365;495.335;8.101.163;754.045;1.476.064;6.855.303;3.224.409;8.820.550;3.348.039;3.902.901;9.220.424;3.254.558;2.184.164;14.533.632;20.441.326;3.761.080;16.676.206;43.744.552;10.956.329;6.667.107;11.097.176;2.605.867;3.249.946;6.471.850;2.785.586
fevereiro, 2014;201.036.812;17.112.861;55.370.685;84.681.838;28.739.952;15.131.476;1.669.667;812.667;3.791.910;496.576;8.109.027;755.462;1.477.552;6.858.669;3.225.154;8.825.294;3.350.554;3.904.521;9.225.652;3.255.890;2.185.949;14.539.003;20.452.774;3.765.036;16.685.285;43.778.742;10.963.665;6.674.688;11.101.599;2.608.531;3.253.474;6.480.390;2.789.081
março, 2014;201.180.032;17.133.180;55.397.390;84.740.473;28.759.290;15.149.699;1.671.337;813.756;3.797.451;497.831;8.116.885;756.878;1.479.040;6.862.035;3.225.899;8.830.041;3.353.066;3.906.147;9.230.879;3.257.220;2.187.734;14.544.370;20.464.215;3.768.992;16.694.364;43.812.902;10.970.999;6.682.271;11.106.019;2.611.194;3.257.005;6.488.925;2.792.575
abril, 2014;201.323.206;17.153.502;55.424.093;84.799.069;28.778.624;15.167.917;1.673.008;814.844;3.802.989;499.102;8.124.737;758.294;1.480.528;6.865.402;3.226.645;8.834.790;3.355.576;3.907.778;9.236.104;3.258.548;2.189.517;14.549.734;20.475.648;3.772.947;16.703.443;43.847.031;10.978.334;6.689.854;11.110.436;2.613.857;3.260.537;6.497.454;2.796.069
maio, 2014;201.466.331;17.173.828;55.450.793;84.857.625;28.797.955;15.186.130;1.674.679;815.932;3.808.525;500.387;8.132.582;759.708;1.482.016;6.868.769;3.227.391;8.839.541;3.358.083;3.909.414;9.241.329;3.259.874;2.191.300;14.555.093;20.487.072;3.776.902;16.712.520;43.881.130;10.985.668;6.697.439;11.114.849;2.616.519;3.264.071;6.505.979;2.799.562
